"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"RELIANCE","EQ","13-Jul-2016","       1003.40","       1005.20","       1016.70","       1004.15","       1008.00","       1008.75","       1010.89","    3409386","          3446506825.55","      75726"
"RELIANCE","EQ","14-Jul-2016","       1008.75","       1008.10","       1014.10","        998.25","       1004.20","       1004.90","       1006.27","    2459183","          2474605486.70","      94968"
"RELIANCE","EQ","15-Jul-2016","       1004.90","       1009.00","       1021.00","       1003.50","       1014.35","       1012.20","       1013.32","    3198562","          3241175868.60","      75448"
"RELIANCE","EQ","18-Jul-2016","       1012.20","       1028.00","       1038.75","       1001.75","       1002.90","       1006.25","       1024.42","    7339086","          7518309445.05","     170099"
"RELIANCE","EQ","19-Jul-2016","       1006.25","       1006.00","       1022.95","        995.30","       1022.50","       1017.80","       1010.24","    3805750","          3844707695.25","     108195"
"RELIANCE","EQ","20-Jul-2016","       1017.80","       1019.95","       1028.30","       1016.55","       1022.75","       1023.00","       1022.31","    2803645","          2866191224.70","      86184"
"RELIANCE","EQ","21-Jul-2016","       1023.00","       1024.00","       1025.00","       1005.00","       1006.20","       1006.35","       1011.19","    1534044","          1551205388.60","      42542"
"RELIANCE","EQ","22-Jul-2016","       1006.35","       1006.00","       1017.80","       1005.10","       1015.90","       1014.85","       1013.37","    1577114","          1598204862.30","      45519"
"RELIANCE","EQ","25-Jul-2016","       1014.85","       1014.00","       1023.75","       1007.35","       1020.50","       1022.75","       1016.50","    1883884","          1914975225.60","      65866"
"RELIANCE","EQ","26-Jul-2016","       1022.75","       1023.00","       1034.80","       1015.20","       1022.25","       1024.05","       1028.33","    2403872","          2471965450.80","      73738"
"RELIANCE","EQ","27-Jul-2016","       1024.05","       1023.05","       1026.00","       1008.95","       1011.20","       1013.10","       1017.10","    2521448","          2564577315.70","      44577"
"RELIANCE","EQ","28-Jul-2016","       1013.10","       1014.95","       1030.50","       1013.05","       1024.00","       1026.35","       1022.77","    3568375","          3649633313.70","      57410"
"RELIANCE","EQ","29-Jul-2016","       1026.35","       1024.00","       1024.90","       1012.00","       1016.05","       1014.90","       1016.04","    2201164","          2236478542.10","      59232"
"RELIANCE","EQ","01-Aug-2016","       1014.90","       1018.00","       1020.30","       1005.05","       1009.00","       1009.50","       1012.34","    1823694","          1846202181.85","      39583"
"RELIANCE","EQ","02-Aug-2016","       1009.50","       1008.00","       1020.00","       1006.30","       1013.00","       1012.80","       1014.69","    1762408","          1788291755.40","      60093"
"RELIANCE","EQ","03-Aug-2016","       1012.80","       1014.40","       1014.40","        991.50","        992.90","        993.95","        998.00","    2713804","          2708366173.90","      84839"
"RELIANCE","EQ","04-Aug-2016","        993.95","        999.00","       1000.00","        983.40","        995.20","        993.00","        990.33","    2328716","          2306189259.05","      70610"
"RELIANCE","EQ","05-Aug-2016","        993.00","        998.00","       1019.00","        997.05","       1018.00","       1016.25","       1008.21","    2767914","          2790650162.95","      63040"
"RELIANCE","EQ","08-Aug-2016","       1016.25","       1019.90","       1034.00","       1018.65","       1027.30","       1029.25","       1029.46","    3098753","          3190040711.85","      85046"
"RELIANCE","EQ","09-Aug-2016","       1029.25","       1027.00","       1034.50","       1021.00","       1029.90","       1030.70","       1027.79","    3038046","          3122459911.40","      80430"
"RELIANCE","EQ","10-Aug-2016","       1030.70","       1031.25","       1034.55","       1002.00","       1002.20","       1003.65","       1012.18","    3079463","          3116960499.05","      75445"
"RELIANCE","EQ","11-Aug-2016","       1003.65","       1001.95","       1022.85","        999.60","       1014.00","       1014.10","       1013.46","    3238899","          3282503482.60","      92154"
